source,product_name,price_web_integer,price_web_fraction,price_store_integer,price_store_fraction,url,timestamp_scrape,category_total_products,price_web,price_store
wong.pe,Muñeco Little Live Pets Cordero,99,90,219,90,https://www.wong.pe/muneco-little-live-pets-cordero-990173-2/p,2025-10-02T20:43:08,,99.9,219.9
wong.pe,Refresco Instantáneo Sabor Maracuyá Sobre 15 g,1,20,,,https://www.wong.pe/refresco-instantaneo-sabor-maracuya-sobre-15-g-712496001-2/p,2025-10-02T20:43:16,,1.2,
wong.pe,"Pack Figura Sonic 5""",99,90,149,00,https://www.wong.pe/pack-figura-sonic-5-1026166/p,2025-10-02T20:43:24,,99.9,149.0
wong.pe,Colchón Abrazzo Paraíso Marrón + 2 Almohadas + Protector King,2,00,5,00,https://www.wong.pe/colchon-abrazzo-king-575968/p,2025-10-02T20:43:33,,2.0,5.0
wong.pe,Arroz para Sushi Miyabi-Mai 5kg,39,90,,,https://www.wong.pe/arroz-para-sushi-miyabi-mai-5kg-1045953/p,2025-10-02T20:43:41,,39.9,
wong.pe,Robot Happy Line Luz y Sonido Warrior,25,90,59,90,https://www.wong.pe/robot-happy-line-luz-y-sonido-warrior-915494/p,2025-10-02T20:43:50,,25.9,59.9
wong.pe,Queso Tipo Gruyere Lait's x kg,104,50,,,https://www.wong.pe/queso-tipo-gruyere-lait-s-x-kg-252811/p,2025-10-02T20:43:58,,104.5,
wong.pe,Yogurt Bebible Laive Sabor Vainilla Francesa 1.7kg,11,50,,,https://www.wong.pe/yogurt-bebible-laive-sabor-vainilla-francesa-1-7kg-166570001/p,2025-10-02T20:44:07,,11.5,
wong.pe,Limpiador Multiuso The Pink Stuff 750ml,31,90,,,https://www.wong.pe/limpiador-multiuso-the-pink-stuff-750ml-1033054/p,2025-10-02T20:44:14,,31.9,
wong.pe,Choclo Congelado Bolsa 1 Kg,16,80,21,00,https://www.wong.pe/choclo-congelado-bolsa-1-kg-916284-2/p,2025-10-02T20:44:23,,16.8,21.0
wong.pe,Papa Seca Tesoro Del Campo Bolsa 500 g,8,70,,,https://www.wong.pe/papa-seca-tesoro-del-campo-bolsa-500-g/p,2025-10-02T20:44:30,,8.7,
wong.pe,Sweater Pet's Fun Murcielago M,29,90,,,https://www.wong.pe/sweater-pets-fun-murcielago-m-1033138/p,2025-10-02T20:44:38,,29.9,
wong.pe,SCD637/45 SETX4 TETINAS ANTICOLIC FLUJOS,34,50,69,00,https://www.wong.pe/scd637-45-setx4-tetinas-anticolic-flujos/p,2025-10-02T20:44:46,,34.5,69.0
wong.pe,Morcilla Cóctel Otto Kunz Paquete 220 g,14,90,,,https://www.wong.pe/morcilla-coctel-otto-kunz-paquete-220-g/p,2025-10-02T20:44:55,,14.9,
wong.pe,Maní Karinto Crocante Salado 200g,5,50,8,00,https://www.wong.pe/man-karinto-crocante-salado-200g-444162003/p,2025-10-02T20:45:02,,5.5,8.0
wong.pe,Chicha Morada Gloria Botella 3 L,8,70,,,https://www.wong.pe/chicha-morada-gloria-botella-3-l-400190/p,2025-10-02T20:45:12,,8.7,
wong.pe,Pack Velas Krea Candelabro Rojo,14,90,24,99,https://www.wong.pe/pack-velas-krea-candelabro-rojo-1020865/p,2025-10-02T20:45:20,,14.9,24.99
wong.pe,Shampoo Tío Nacho Anti Caída Engrosador 415ml,24,90,30,10,https://www.wong.pe/shampoo-t-o-nacho-anti-ca-da-engrosador-415ml720612/p,2025-10-02T20:45:28,,24.9,30.1
wong.pe,Spray Nobel Árnica Crackling 100ml,72,92,,,https://www.wong.pe/spray-nobel-arnica-crackling-100ml-2-2/p,2025-10-02T20:45:37,,72.92,
wong.pe,Sal de Maras con Hierbas Aromáticas Gruesa Frasco 600 g,11,90,,,https://www.wong.pe/sal-de-maras-con-hierbas-aromaticas-gruesa-frasco-600-g-529176/p,2025-10-02T20:45:46,,11.9,
wong.pe,Tetera Record Inoxidable Silver 2.5L,209,90,,,https://www.wong.pe/tetera-record-inoxidable-silver-2-5l-990905-2/p,2025-10-02T20:45:54,,209.9,
wong.pe,Artesco Cerámica Moldeable Granulada Pote 20 g Caja 6 unid,14,50,,,https://www.wong.pe/artesco-ceramica-moldeable-granulada-pote-20-g-caja-6-unid-413921/p,2025-10-02T20:46:02,,14.5,
wong.pe,Oster Hervidor Eléctrico BVSTKT673CR-053 1.7 Lt,139,00,189,00,https://www.wong.pe/oster-hervidor-electrico-bvstkt673cr-053-1-7-lt-2/p,2025-10-02T20:46:10,,139.0,189.0
wong.pe,Bolígrafo Speedx 7 Azul 1 unid,4,15,5,19,https://www.wong.pe/boligrafo-speedx-7-azul-1-unid-522474-2/p,2025-10-02T20:46:19,,4.15,5.19
wong.pe,Ambientador Glade Automático en Aerosol Aparato Manzana y Canela 175g,55,90,,,https://www.wong.pe/ambientador-glade-automatico-en-aerosol-aparato-manzana-y-canela-175g-454491/p,2025-10-02T20:46:27,,55.9,
wong.pe,Cocina de Piso a Gas Mabe CMP6060FX0 60cm,999,00,1,00,https://www.wong.pe/cocina-de-piso-a-gas-mabe-cmp6060fx0-60cm-992774-2/p,2025-10-02T20:46:36,,999.0,1.0
wong.pe,Funda Plumón Krea Estampada 2 Plazas Microfibra Raya Azul,29,90,174,99,https://www.wong.pe/funda-plumon-krea-estampada-2-plazas-microfibra-raya-azul-1023106/p,2025-10-02T20:46:44,,29.9,174.99
